Rk,Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Che Adams,FW,sct Scotland,27,1996,2.3,27,31,87.1,386,44,15,17,88.2,8,8,100.0,1,3,33.3,0,0.1,0.2,-0.1,2,2,0,0,2,Matches
2,Michel Aebischer,DF,ch Switzerland,27,1997,5.3,221,252,87.7,3316,1014,131,140,93.6,75,88,85.2,10,16,62.5,2,1.2,1.0,+0.8,6,17,7,0,28,Matches
3,Arlind Ajeti,DF,al Albania,30,1993,3.0,93,112,83.0,1654,533,35,37,94.6,48,53,90.6,8,17,47.1,0,0.0,0.0,0.0,0,4,0,0,5,Matches
4,Manuel Akanji,DF,ch Switzerland,28,1995,5.3,304,331,91.8,5658,2036,113,119,95.0,158,168,94.0,31,39,79.5,0,0.0,0.1,0.0,1,21,0,0,25,Matches
5,Samet Akaydın,DF,tr Türkiye,29,1994,3.7,185,206,89.8,3262,1350,79,80,98.8,91,103,88.3,13,21,61.9,0,0.0,0.1,0.0,0,18,0,0,15,Matches
6,Nathan Aké,DF,nl Netherlands,28,1995,5.2,239,274,87.2,3493,1239,138,145,95.2,89,103,86.4,8,14,57.1,1,0.4,0.4,+0.6,5,23,1,0,21,Matches
7,Yunus Akgün,FW,tr Türkiye,23,2000,0.8,14,17,82.4,239,92,5,5,100.0,9,9,100.0,0,2,0.0,0,0.1,0.1,-0.1,2,1,1,0,3,Matches
8,Kerem Aktürkoğlu,"FW,MF",tr Türkiye,25,1998,1.2,22,38,57.9,352,78,11,12,91.7,10,18,55.6,1,5,20.0,0,0.1,0.0,-0.1,3,3,0,0,3,Matches
9,Trent Alexander-Arnold,"MF,DF",eng England,25,1998,1.5,84,101,83.2,1618,556,42,46,91.3,22,25,88.0,16,23,69.6,0,0.1,0.2,-0.1,3,8,2,0,12,Matches
10,Denis Alibec,FW,ro Romania,33,1991,0.3,4,4,100.0,41,3,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
11,Barış Alper Yılmaz,FW,tr Türkiye,23,2000,5.0,80,105,76.2,1096,289,48,57,84.2,22,33,66.7,3,7,42.9,0,0.8,0.9,-0.8,5,5,2,0,15,Matches
12,Sandro Altunashvili,MF,ge Georgia,26,1997,0.6,13,16,81.3,139,25,11,11,100.0,1,2,50.0,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
13,Zeki Amdouni,"MF,FW",ch Switzerland,23,2000,0.6,9,14,64.3,116,11,4,5,80.0,2,5,40.0,1,1,100.0,0,0.0,0.0,0.0,0,3,0,0,1,Matches
14,Joachim Andersen,DF,dk Denmark,27,1996,4.0,249,298,83.6,4231,1453,124,130,95.4,98,113,86.7,24,44,54.5,0,0.2,0.4,-0.2,2,23,2,1,24,Matches
15,Robert Andrich,MF,de Germany,29,1994,3.5,208,232,89.7,3008,901,114,120,95.0,77,85,90.6,10,16,62.5,0,0.1,0.3,-0.1,3,26,3,0,21,Matches
16,Waldemar Anton,DF,de Germany,27,1996,0.4,20,24,83.3,303,151,12,13,92.3,7,8,87.5,1,3,33.3,0,0.1,0.0,-0.1,1,1,0,0,2,Matches
17,Stuart Armstrong,MF,sct Scotland,31,1992,0.2,7,10,70.0,182,73,1,2,50.0,3,4,75.0,3,3,100.0,0,0.0,0.1,0.0,0,1,0,0,1,Matches
18,Marko Arnautović,FW,at Austria,34,1989,3.1,39,54,72.2,498,93,27,29,93.1,5,12,41.7,3,4,75.0,0,0.0,0.1,0.0,0,0,0,0,3,Matches
19,Jasir Asani,FW,al Albania,28,1995,2.3,31,38,81.6,478,176,14,16,87.5,15,16,93.8,1,4,25.0,1,0.4,0.3,+0.6,3,3,3,2,4,Matches
20,Kristjan Asllani,MF,al Albania,21,2002,3.0,155,189,82.0,3066,822,61,65,93.8,70,74,94.6,21,42,50.0,0,0.6,0.3,-0.6,8,10,3,1,10,Matches
21,Kaan Ayhan,"MF,DF",tr Türkiye,29,1994,4.0,156,179,87.2,2944,826,64,65,98.5,72,85,84.7,18,23,78.3,1,0.3,0.1,+0.7,5,15,2,0,16,Matches
22,Alex Baena,"MF,FW",es Spain,22,2001,0.3,11,12,91.7,143,64,6,7,85.7,4,4,100.0,0,0,,0,0.1,0.0,-0.1,1,0,2,0,2,Matches
23,Alexander Bah,"DF,MF",dk Denmark,26,1997,3.1,127,164,77.4,2004,730,71,80,88.8,44,59,74.6,9,16,56.3,0,0.1,0.2,-0.1,2,9,4,1,20,Matches
24,Nedim Bajrami,"FW,MF",al Albania,24,1999,2.7,61,80,76.3,942,116,32,37,86.5,26,31,83.9,2,8,25.0,0,0.0,0.1,0.0,0,4,1,0,5,Matches
25,Johan Bakayoko,"FW,DF",be Belgium,20,2003,0.5,18,21,85.7,265,65,12,14,85.7,3,4,75.0,2,2,100.0,0,0.1,0.1,-0.1,2,0,1,0,1,Matches
26,Jure Balkovec,DF,si Slovenia,29,1994,1.3,24,37,64.9,418,190,12,12,100.0,10,15,66.7,2,10,20.0,0,0.0,0.0,0.0,1,2,0,0,5,Matches
27,Iván Balliu,DF,al Albania,32,1992,1.0,33,43,76.7,480,190,17,20,85.0,15,18,83.3,0,2,0.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
28,Nicușor Bancu,DF,ro Romania,31,1992,3.0,103,139,74.1,1534,687,54,62,87.1,44,57,77.2,2,9,22.2,0,0.1,0.1,-0.1,2,4,2,0,12,Matches
29,Antonín Barák,MF,cz Czechia,29,1994,0.5,20,24,83.3,269,36,13,13,100.0,7,8,87.5,0,1,0.0,0,0.0,0.2,0.0,1,0,1,0,2,Matches
30,Bradley Barcola,"FW,MF",fr France,21,2002,1.1,27,32,84.4,399,152,18,22,81.8,7,7,100.0,1,1,100.0,0,0.5,0.1,-0.5,5,4,2,1,7,Matches
31,Abdülkerim Bardakcı,DF,tr Türkiye,29,1994,4.0,182,211,86.3,3077,1299,92,97,94.8,78,85,91.8,9,24,37.5,0,0.3,0.2,-0.3,2,14,3,1,13,Matches
